Test_File,Target,MSE,MAE,R2,SMAPE
20210614_non-A.C_air가스화,CO,0.0005,0.0172,0.9989,3.3933
20210614_non-A.C_air가스화,CO2,0.0008,0.0184,0.9998,9.363
20210614_non-A.C_air가스화,CH4,0.0013,0.0267,0.9977,3.4875
20210614_non-A.C_air가스화,H2,0.0024,0.0389,0.9925,1.5736
20210520_mask pellet_steam 가스화,CO,0.0223,0.0284,0.9674,4.7601
20210520_mask pellet_steam 가스화,CO2,0.1159,0.039,0.7988,4.2571
20210520_mask pellet_steam 가스화,CH4,0.0101,0.0288,0.9955,12.5798
20210520_mask pellet_steam 가스화,H2,0.1726,0.0482,0.9921,12.7601
22.05.25_mask co2 gasification without ac,CO,0.0002,0.0108,0.9829,9.3803
22.05.25_mask co2 gasification without ac,CO2,0.002,0.0342,0.9999,9.1256
22.05.25_mask co2 gasification without ac,CH4,0.0018,0.0303,0.9983,7.6241
22.05.25_mask co2 gasification without ac,H2,0.0082,0.0856,0.9729,6.5701
220608_mask o2steam gasification_without ac,CO,0.0445,0.028,0.9738,15.9358
220608_mask o2steam gasification_without ac,CO2,0.1071,0.0644,0.9853,33.7037
220608_mask o2steam gasification_without ac,CH4,0.0073,0.0531,0.9991,39.9748
220608_mask o2steam gasification_without ac,H2,0.0812,0.1146,0.9824,10.227
20210609_mask pellet air 가스화_2차,CO,0.0084,0.0361,0.9937,3.3063
20210609_mask pellet air 가스화_2차,CO2,0.3096,0.0825,0.9481,16.3452
20210609_mask pellet air 가스화_2차,CH4,0.0424,0.0435,0.945,11.2859
20210609_mask pellet air 가스화_2차,H2,0.1724,0.073,0.9702,2.1427
20210510_Mask pellet steam gasification,CO,0.0005,0.0166,0.9988,2.6282
20210510_Mask pellet steam gasification,CO2,0.0035,0.0496,0.9903,6.71
20210510_Mask pellet steam gasification,CH4,0.0024,0.0349,0.9983,5.7859
20210510_Mask pellet steam gasification,H2,0.0193,0.1144,0.9988,3.8454
22.04.07_co2 가스화 with AC,CO,0.0086,0.0333,0.9825,3.0895
22.04.07_co2 가스화 with AC,CO2,0.0575,0.1387,0.9977,17.3969
22.04.07_co2 가스화 with AC,CH4,0.009,0.0503,0.9955,16.6728
22.04.07_co2 가스화 with AC,H2,0.0086,0.0641,0.9987,6.8426
220718_mask o2steam gasification_with ac,CO,0.002,0.0345,0.9951,0.8098
220718_mask o2steam gasification_with ac,CO2,0.0409,0.1745,0.9806,2.7178
220718_mask o2steam gasification_with ac,CH4,0.0146,0.0954,0.9919,2.4257
220718_mask o2steam gasification_with ac,H2,0.027,0.1384,0.9963,1.0452
20210730_mask pellet_air,CO,0.0055,0.062,0.9952,5.9917
20210730_mask pellet_air,CO2,0.0183,0.1095,0.9968,5.6554
20210730_mask pellet_air,CH4,0.0113,0.0801,0.9933,7.6327
20210730_mask pellet_air,H2,0.0104,0.0654,0.998,1.1005
20210520_mask pellet_steam 가스화,CO,0.0217,0.024,0.9683,4.2153
20210520_mask pellet_steam 가스화,CO2,0.1484,0.0407,0.7423,4.1832
20210520_mask pellet_steam 가스화,CH4,0.0164,0.031,0.9927,12.7912
20210520_mask pellet_steam 가스화,H2,0.165,0.0514,0.9924,12.5566
22.04.07_co2 가스화 with AC,CO,0.0052,0.0368,0.9895,6.5144
22.04.07_co2 가스화 with AC,CO2,0.0768,0.1585,0.997,19.0355
22.04.07_co2 가스화 with AC,CH4,0.0083,0.0478,0.9959,16.608
22.04.07_co2 가스화 with AC,H2,0.0732,0.1452,0.9886,11.8981
220608_mask o2steam gasification_without ac,CO,0.0363,0.0305,0.9786,26.5952
220608_mask o2steam gasification_without ac,CO2,0.1861,0.057,0.9745,34.8871
220608_mask o2steam gasification_without ac,CH4,0.0181,0.053,0.9976,40.2568
220608_mask o2steam gasification_without ac,H2,0.0765,0.0579,0.9834,5.0303
20210614_non-A.C_air가스화,CO,0.0005,0.0163,0.9989,2.2027
