Feature,SHAP Mean,SHAP Std
PI-4,0.11460611392825848,0.383573453815574
PI-3,0.09046282012394616,0.2857772061661734
PI-5,0.08151261964012232,0.2444861114838929
PI-2,0.07029085381349748,0.21291663548484904
CO2(t-1),0.06358748903881503,0.21831515757448863
H2(t-1),0.0049896614813367155,0.01415946230333454
FNC-2,0.004567326115299616,0.014713801147387195
CH4(t-1),0.0032374203124332208,0.010306375270986528
TI-3,0.003167451802142202,0.009219565432729256
TI-4,0.0024025689144386666,0.007365608687016401
CO(t-1),0.0017880563721159265,0.004381628097149866
TI-2,0.0012832570355215073,0.004184630689155555
FNC-3,0.000821279467175536,0.0035011256269270475
FNC-1,0.0006678738720389808,0.002413765451758677
TI-5,0.0004163685864040962,0.0014998125285290724
Total N2 flow rate [g/min],0.0,0.0
Steam flow rate [g/min],0.0,0.0
CO2 flow rate [g/min],0.0,0.0
O2 flow rate [g/min],0.0,0.0
Actual feeding rate [g/min],0.0,0.0
