Feature,SHAP Mean,SHAP Std
PI-3,0.2749309818410832,0.9471589588223424
PI-4,0.2626563053468639,0.9335857610289825
PI-5,0.2042849169653153,0.6625492376238981
PI-2,0.19882457761451383,0.526315186646508
H2(t-1),0.14422908062702428,0.5565991284053952
CH4(t-1),0.02381077139430678,0.07729036899032568
CO(t-1),0.009103033877059772,0.026119601137388822
TI-3,0.00859443326393354,0.0269981707217339
CO2(t-1),0.005585839039293843,0.015929774625825326
FNC-2,0.005524025649086588,0.020918367626859665
TI-4,0.004110513151756082,0.014645331469051136
TI-2,0.002315237901263989,0.006753716034830131
FNC-1,0.0020244664922014774,0.008302136456555134
TI-5,0.0008505306033343965,0.003095029491889603
FNC-3,0.0007717539498497802,0.0031870964226196575
Total N2 flow rate [g/min],0.0,0.0
Steam flow rate [g/min],0.0,0.0
CO2 flow rate [g/min],0.0,0.0
O2 flow rate [g/min],0.0,0.0
Actual feeding rate [g/min],0.0,0.0
