Feature,SHAP Mean,SHAP Std
PI-3,0.39457006061276156,0.9998301451334795
PI-4,0.3888697123124642,1.0195170594476537
PI-5,0.30398450529527415,0.6300257851601757
PI-2,0.2929479679552386,0.6368667729231123
H2(t-1),0.28673746297510777,0.7705459290943414
CH4(t-1),0.0717590433003158,0.16005011711858821
CO2(t-1),0.023267559015570535,0.07435587685733279
CO(t-1),0.021936016758368905,0.05251882420746404
FNC-2,0.01269167931153756,0.04466756463026809
TI-3,0.012536143998838494,0.029439719124309247
TI-4,0.010071135233319812,0.02992500947935525
TI-2,0.005554847710000809,0.012061171471486913
FNC-1,0.00230692583482666,0.010521197238822777
FNC-3,0.0016057547560249985,0.004793801168236237
TI-5,0.0013525693675273647,0.0028630498286844157
Total N2 flow rate [g/min],0.0,0.0
Steam flow rate [g/min],0.0,0.0
CO2 flow rate [g/min],0.0,0.0
O2 flow rate [g/min],0.0,0.0
Actual feeding rate [g/min],0.0,0.0
