Feature,SHAP Mean,SHAP Std
PI-4,0.8497490985350359,2.8069778012792677
PI-3,0.8413030963632927,2.494013211438716
PI-2,0.6474462197862002,1.9420133427806692
PI-5,0.5880101078454809,1.7816686064564318
CO2(t-1),0.2702896973595664,0.9136595845837179
H2(t-1),0.06156165748501285,0.1512198494662072
FNC-2,0.03116635663129001,0.08352595206748252
CH4(t-1),0.02453914717240159,0.05079725651600377
FNC-1,0.016892168143619494,0.08527984613206438
CO(t-1),0.016791836426634305,0.04022562791341645
TI-3,0.0161027710958465,0.031492899682855645
TI-4,0.015386058606823927,0.03594713410620394
TI-2,0.008825388153737117,0.021047976683922383
TI-5,0.004316992812182481,0.012852473036981763
FNC-3,0.003312352933787408,0.008565704329572092
Total N2 flow rate [g/min],0.0,0.0
Steam flow rate [g/min],0.0,0.0
CO2 flow rate [g/min],0.0,0.0
O2 flow rate [g/min],0.0,0.0
Actual feeding rate [g/min],0.0,0.0
