Feature,SHAP Mean,SHAP Std
PI-3,1.209080628734905,3.3807843549129717
PI-4,1.091210276749458,3.5381665018034125
PI-2,0.8631260417983059,2.7504907895104265
PI-5,0.5783816150186359,1.795420719717707
H2(t-1),0.3610363960283746,1.0597238562026818
CH4(t-1),0.0777956260884556,0.19035379775562958
CO2(t-1),0.06635129179612063,0.15568742488769152
FNC-2,0.03970870485347311,0.09927044523098358
CO(t-1),0.03040337052737805,0.05966728686335235
TI-3,0.024104428623747707,0.05041541425237732
FNC-1,0.021160966495792775,0.10597120166330946
TI-4,0.018139386365106668,0.04142477337135621
TI-2,0.00780897734764515,0.015259703448543417
TI-5,0.003913614303114785,0.011006561295622191
FNC-3,0.0024948728078797353,0.006653889854628159
Total N2 flow rate [g/min],0.0,0.0
Steam flow rate [g/min],0.0,0.0
CO2 flow rate [g/min],0.0,0.0
O2 flow rate [g/min],0.0,0.0
Actual feeding rate [g/min],0.0,0.0
