Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
13,50,35,223.0,4.658769231,19.61223214,0,6.830357143,0,800.0,799.8,800.0,759,786,794,775,463.12,226.88,200.0,203.75,0.05,-0.52,-0.01,-0.01
13,50,36,223.02,4.658769231,19.61223214,0,6.830357143,0,800.0,799.8,800.0,759,786,794,775,462.5,226.88,198.75,203.12,0.05,-0.52,-0.01,-0.01
13,50,37,223.03,4.658769231,19.61223214,0,6.830357143,0,800.0,799.8,800.0,759,786,794,775,461.88,226.25,196.88,202.5,0.05,-0.52,-0.01,-0.01
13,50,38,223.05,4.658769231,19.61223214,0,6.830357143,0,800.0,799.8,800.0,759,786,794,775,462.5,225.62,198.12,202.5,0.03,-0.52,-0.01,-0.01
13,50,39,223.07,4.658769231,19.61223214,0,6.830357143,0,800.0,799.8,800.0,759,786,794,775,463.75,226.88,198.12,203.75,0.03,-0.52,-0.01,-0.03
13,50,40,223.08,4.658769231,19.61223214,0,6.830357143,0,800.0,799.9,800.0,759,786,794,775,462.5,226.88,196.88,205.0,0.03,-0.52,-0.01,-0.01
13,50,41,223.1,4.658769231,19.61223214,0,6.830357143,0,800.0,799.9,800.0,759,786,794,775,462.5,226.88,198.12,205.0,0.03,-0.52,-0.01,-0.01
13,50,42,223.12,4.658769231,19.61223214,0,6.830357143,0,800.0,799.9,800.0,759,786,794,775,461.25,225.62,198.12,205.0,0.03,-0.52,-0.01,-0.01
13,50,43,223.13,4.658769231,19.61223214,0,6.830357143,0,800.0,799.9,800.0,759,786,794,775,460.62,225.0,196.88,203.12,0.03,-0.52,-0.01,-0.03
13,50,44,223.15,4.658769231,19.61223214,0,6.830357143,0,800.0,799.9,800.0,759,786,794,775,460.62,225.0,196.88,203.12,0.03,-0.52,-0.01,-0.03
13,50,45,223.17,4.658769231,19.61223214,0,6.830357143,0,800.0,799.9,800.0,759,786,794,775,460.62,225.0,196.88,202.5,0.03,-0.52,-0.01,-0.01
13,50,46,223.18,4.658769231,19.61223214,0,6.830357143,0,800.0,799.9,799.9,759,786,794,775,461.25,225.0,196.88,203.12,0.05,-0.52,-0.01,-0.03
