Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
13,37,15,348.01,4.086333333,19.61071429,0,6.771724138,0,799.8,799.3,800.0,775,792,794,775,325.62,88.75,63.12,71.25,-0.03,0.04,0.0,0.04
13,37,16,348.03,4.086333333,19.61071429,0,6.771724138,0,799.9,799.3,800.0,775,792,794,775,325.62,89.38,63.75,71.25,-0.05,0.05,0.0,0.04
13,37,17,348.04,4.086333333,19.61071429,0,6.771724138,0,799.9,799.3,800.0,775,792,794,775,326.25,90.0,63.12,70.0,-0.05,0.05,0.0,0.04
13,37,18,348.06,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,326.25,90.0,63.12,70.0,-0.05,0.05,0.0,0.04
13,37,19,348.08,4.086333333,19.61071429,0,6.771724138,0,799.9,799.3,800.0,775,792,794,775,325.62,91.25,63.75,70.0,-0.03,0.05,0.0,0.04
13,37,20,348.09,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,325.62,90.0,63.75,71.25,-0.05,0.05,0.0,0.04
13,37,21,348.11,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,325.62,90.0,63.75,70.0,-0.05,0.05,0.0,0.04
13,37,22,348.13,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,325.62,89.38,63.12,68.12,-0.05,0.05,0.0,0.04
13,37,23,348.14,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,325.62,90.0,63.75,70.0,-0.05,0.05,0.0,0.04
13,37,24,348.16,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,799.9,775,792,794,775,325.0,91.25,63.75,70.0,-0.05,0.05,0.0,0.04
13,37,25,348.18,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,325.0,91.25,63.75,70.0,-0.05,0.05,0.0,0.04
13,37,26,348.19,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,325.62,91.25,63.75,70.0,-0.05,0.05,0.0,0.04
13,37,27,348.21,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,327.5,91.25,63.75,71.25,-0.05,0.05,0.0,0.04
13,37,28,348.23,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,327.5,91.25,63.75,67.5,-0.03,0.05,0.0,0.04
13,37,29,348.24,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,328.75,91.88,63.75,71.25,-0.03,0.05,0.0,0.03
13,37,30,348.26,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,330.62,91.88,63.75,72.5,-0.05,0.04,0.0,0.04
13,37,31,348.28,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,330.62,91.88,63.75,72.5,-0.05,0.04,0.0,0.04
13,37,32,348.29,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,329.38,92.5,64.38,67.5,-0.05,0.04,0.0,0.03
13,37,33,348.31,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,328.75,91.88,67.5,66.88,-0.05,0.04,0.0,0.04
13,37,34,348.33,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,328.75,91.88,67.5,68.12,-0.05,0.04,0.0,0.04
13,37,35,348.34,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,328.12,92.5,66.88,66.88,-0.05,0.04,0.0,0.04
13,37,36,348.36,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,328.12,92.5,66.88,68.12,-0.05,0.04,0.0,0.04
13,37,37,348.38,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,328.75,95.0,66.88,68.12,-0.05,0.05,0.0,0.04
13,37,38,348.39,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,328.75,95.0,66.25,70.0,-0.06,0.04,0.0,0.04
13,37,39,348.41,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,331.25,94.38,66.25,67.5,-0.05,0.04,0.0,0.04
13,37,40,348.43,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,331.88,94.38,63.75,68.12,-0.06,0.05,0.0,0.04
13,37,41,348.44,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,331.25,93.12,63.75,70.0,-0.06,0.05,0.0,0.04
13,37,42,348.46,4.086333333,19.61071429,0,6.771724138,0,799.9,799.4,800.0,775,792,794,775,331.25,93.12,63.75,70.0,-0.05,0.04,0.0,0.04
