Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
13,35,39,246.0,4.184897959,27.14839286,100.8,0,0,799.9,799.4,799.9,765,783,794,776,444.38,211.88,175.0,183.75,0.01,0.01,0.0,0.1
13,35,40,246.02,4.184897959,27.14839286,100.8,0,0,799.9,799.4,799.9,765,783,794,776,445.62,212.5,176.88,184.38,0.03,0.0,0.0,0.1
13,35,41,246.03,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,445.0,213.12,177.5,184.38,0.03,0.0,0.0,0.1
13,35,42,246.05,4.184897959,27.14839286,100.8,0,0,799.9,799.4,799.9,765,783,794,776,445.0,213.12,177.5,184.38,0.03,-0.01,0.0,0.1
13,35,43,246.07,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,444.38,214.38,178.12,185.0,0.01,0.0,0.0,0.09
13,35,44,246.08,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,446.88,215.0,179.38,186.25,0.01,0.0,0.0,0.09
13,35,45,246.1,4.184897959,27.14839286,100.8,0,0,799.9,799.4,799.9,765,783,794,776,447.5,215.62,180.0,185.0,0.01,0.0,0.0,0.09
13,35,46,246.12,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,447.5,216.88,180.0,186.25,0.01,0.0,0.0,0.09
13,35,47,246.13,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,447.5,216.25,180.62,186.25,0.01,0.0,0.0,0.09
13,35,48,246.15,4.184897959,27.14839286,100.8,0,0,799.9,799.4,799.9,765,783,794,776,446.88,216.25,180.0,183.75,0.01,0.0,0.0,0.1
13,35,49,246.17,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,445.62,217.5,180.62,185.0,0.01,0.0,0.0,0.1
13,35,50,246.18,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,446.88,218.12,180.0,181.88,0.01,0.01,0.0,0.09
13,35,51,246.2,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,448.12,218.12,180.62,184.38,0.01,0.01,0.0,0.1
13,35,52,246.22,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,447.5,218.12,181.25,184.38,0.01,0.01,0.0,0.09
13,35,53,246.23,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,447.5,218.12,181.25,183.12,0.01,0.01,0.0,0.09
13,35,54,246.25,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,447.5,218.12,183.75,183.12,0.01,0.0,0.0,0.1
13,35,55,246.27,4.184897959,27.14839286,100.8,0,0,799.9,799.4,799.9,765,783,794,776,447.5,218.12,183.75,185.0,0.01,0.01,0.0,0.1
13,35,56,246.28,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,448.75,218.75,183.75,186.88,0.01,0.0,0.0,0.1
13,35,57,246.3,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,448.12,220.62,183.75,185.0,0.01,0.0,0.0,0.1
13,35,58,246.32,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,446.88,221.25,183.12,183.75,0.01,0.0,0.0,0.09
13,35,59,246.33,4.184897959,27.14839286,100.8,0,0,799.9,799.4,799.9,765,783,794,776,446.88,221.25,183.12,180.62,0.01,0.01,0.0,0.09
13,36,0,246.35,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,445.0,220.62,182.5,180.62,0.01,0.01,0.0,0.1
13,36,1,246.37,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,445.0,219.38,180.62,183.12,0.01,0.01,0.0,0.1
13,36,2,246.38,4.184897959,27.14839286,100.8,0,0,800.0,799.4,799.9,765,783,794,776,446.88,219.38,180.62,184.38,0.01,0.01,0.0,0.1
