Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
13,35,43,195.0,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,368.75,126.88,99.38,107.5,-0.03,0.0,0.0,0.05
13,35,44,195.02,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,368.75,126.88,100.0,108.12,-0.03,0.0,0.0,0.05
13,35,45,195.03,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,369.38,126.88,100.0,108.12,-0.03,0.0,0.0,0.05
13,35,46,195.05,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,370.0,129.38,102.5,108.12,-0.03,0.0,0.0,0.08
13,35,47,195.07,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,369.38,127.5,100.0,108.12,-0.03,0.0,0.0,0.08
13,35,48,195.08,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,368.75,126.88,100.0,108.75,-0.03,0.0,0.0,0.05
13,35,49,195.1,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,368.75,128.12,99.38,108.12,-0.03,0.0,0.0,0.05
13,35,50,195.12,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,368.75,129.38,99.38,108.12,-0.03,0.0,0.0,0.05
13,35,51,195.13,4.223,23.83035714,0,0,11.1375,800.1,800.0,800.4,761,783,795,775,368.75,129.38,101.25,108.12,-0.03,0.0,0.0,0.05
13,35,52,195.15,4.223,23.83035714,0,0,11.1375,800.1,800.0,800.4,761,783,795,775,368.75,129.38,101.88,108.12,-0.03,0.0,0.0,0.05
13,35,53,195.17,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,369.38,129.38,101.88,108.12,-0.03,0.0,0.0,0.05
13,35,54,195.18,4.223,23.83035714,0,0,11.1375,800.1,800.0,800.4,761,783,795,775,371.25,130.0,101.88,108.12,-0.03,0.0,0.0,0.05
13,35,55,195.2,4.223,23.83035714,0,0,11.1375,800.1,800.0,800.4,761,783,795,775,370.0,129.38,101.88,107.5,-0.03,0.0,0.0,0.05
13,35,56,195.22,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,368.12,128.12,101.88,105.0,-0.01,-0.01,0.0,0.05
13,35,57,195.23,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,368.75,127.5,101.88,105.0,-0.01,-0.01,0.0,0.08
13,35,58,195.25,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,368.75,127.5,101.88,105.62,-0.01,-0.01,0.0,0.08
13,35,59,195.27,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,369.38,128.12,101.88,105.62,-0.01,0.0,0.0,0.08
13,36,0,195.28,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,371.88,130.0,101.88,106.25,-0.03,0.01,0.0,0.05
13,36,1,195.3,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,371.88,130.0,102.5,105.62,-0.01,0.0,0.0,0.08
13,36,2,195.32,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,370.0,130.0,102.5,105.62,-0.03,0.0,0.0,0.08
13,36,3,195.33,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,371.25,130.0,102.5,106.25,-0.01,0.01,0.0,0.08
13,36,4,195.35,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,371.25,130.62,103.12,107.5,-0.01,0.01,0.0,0.08
13,36,5,195.37,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,371.25,130.62,103.12,107.5,-0.01,0.0,0.0,0.08
13,36,6,195.38,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,371.25,130.62,102.5,107.5,-0.01,0.0,0.0,0.05
13,36,7,195.4,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,371.25,131.25,103.12,108.12,-0.03,0.01,0.01,0.08
13,36,8,195.42,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,371.88,131.25,103.12,108.12,-0.01,0.0,0.01,0.08
13,36,9,195.43,4.223,23.83035714,0,0,11.1375,800.0,800.0,800.4,761,783,795,775,371.88,132.5,104.38,108.75,-0.03,0.0,0.0,0.05
