Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
13,19,37,220,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,333.75,102.5,73.12,80.62,-0.01,-0.01,0,-0.01
13,19,38,220.02,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,330.62,101.88,73.75,83.75,-0.01,-0.03,0,-0.01
13,19,39,220.03,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,334.38,102.5,76.88,83.75,-0.01,-0.03,0,-0.01
13,19,40,220.05,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,335.62,104.38,77.5,83.75,-0.01,-0.03,0,-0.01
13,19,41,220.07,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,335.62,105,76.88,83.12,-0.01,-0.01,0,-0.01
13,19,42,220.08,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,337.5,105,76.88,83.75,-0.01,-0.03,0,-0.03
13,19,43,220.1,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,337.5,105,76.88,83.75,-0.01,-0.03,0,-0.01
13,19,44,220.12,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,335,104.38,74.38,83.75,-0.01,-0.03,0,-0.01
13,19,45,220.13,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,335,103.12,78.75,84.38,-0.01,-0.01,0,-0.03
13,19,46,220.15,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,335.62,103.12,77.5,83.75,-0.01,-0.03,0,-0.01
13,19,47,220.17,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,337.5,105,80.62,86.88,0,-0.03,0,-0.01
13,19,48,220.18,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,335,105.62,76.25,82.5,0,-0.03,0,-0.03
13,19,49,220.2,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,335,105.62,76.25,81.88,0,-0.03,0,-0.03
13,19,50,220.22,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,335.62,104.38,76.25,81.88,-0.01,-0.01,0,-0.03
13,19,51,220.23,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,340,105.62,76.88,83.12,-0.01,-0.01,0,-0.03
13,19,52,220.25,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,340.62,106.25,76.88,83.12,0,-0.01,0,-0.03
13,19,53,220.27,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,337.5,105,73.12,80,0,-0.01,0,-0.03
13,19,54,220.28,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,338.12,105,75.62,81.88,0,-0.01,0,-0.01
13,19,55,220.3,6.586289593,15.17857143,4.344,10.62195979,0,800.1,799.9,800,762,793,793,781,338.12,105,75.62,80,0,-0.01,0,-0.01
13,19,56,220.32,6.586289593,15.17857143,4.344,10.62195979,0,800.1,799.9,800,762,793,793,781,335.62,103.12,73.75,80,0,-0.01,0,-0.01
13,19,57,220.33,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,336.88,104.38,75.62,82.5,0,-0.01,0,-0.01
13,19,58,220.35,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,338.12,108.75,77.5,84.38,0,-0.01,0,-0.01
13,19,59,220.37,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,336.88,105.62,74.38,79.38,0,-0.01,0,-0.03
13,20,0,220.38,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,335,105,71.25,78.75,-0.01,-0.01,0,-0.01
13,20,1,220.4,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,335,105,71.25,77.5,-0.01,-0.01,0,-0.01
13,20,2,220.42,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,334.38,104.38,70.62,77.5,-0.01,-0.01,0,-0.01
13,20,3,220.43,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,334.38,102.5,71.25,76.88,0,-0.01,0,-0.01
13,20,4,220.45,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,793,793,781,338.12,103.12,73.75,81.88,0,-0.01,0,-0.01
13,20,5,220.47,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,338.12,104.38,75.62,82.5,-0.01,-0.01,0,-0.01
13,20,6,220.48,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,333.75,103.12,73.12,80.62,-0.01,-0.01,0,-0.01
13,20,7,220.5,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,333.75,103.12,73.12,78.75,-0.01,-0.01,0,-0.01
13,20,8,220.52,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,329.38,100,70.62,78.75,0,-0.03,0,-0.01
13,20,9,220.53,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,332.5,101.25,75.62,82.5,0,-0.03,0,-0.01
13,20,10,220.55,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,333.75,101.88,75.62,82.5,-0.01,-0.03,0,-0.01
13,20,11,220.57,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,334.38,102.5,76.25,82.5,-0.01,-0.03,0,-0.01
13,20,12,220.58,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,335.62,103.12,76.25,83.12,-0.01,-0.03,0,-0.01
13,20,13,220.6,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,335.62,103.12,76.25,83.75,-0.01,-0.03,0,-0.01
13,20,14,220.62,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,336.88,104.38,77.5,83.75,-0.01,-0.01,0,-0.01
13,20,15,220.63,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,335.62,103.12,75.62,83.12,-0.01,-0.03,0,-0.01
13,20,16,220.65,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,335,102.5,75.62,82.5,0,-0.03,0,0
13,20,17,220.67,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,334.38,102.5,75.62,84.38,-0.01,-0.03,0,-0.01
13,20,18,220.68,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,335,102.5,78.75,85.62,0,-0.03,0,-0.01
13,20,19,220.7,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,334.38,101.25,76.25,83.75,0,-0.01,0,0
13,20,20,220.72,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,334.38,101.25,76.25,83.75,0,-0.01,0,0
13,20,21,220.73,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,335,102.5,76.88,84.38,0,-0.01,0,-0.01
13,20,22,220.75,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,336.88,105,77.5,84.38,0,-0.01,0,-0.01
13,20,23,220.77,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,340,105.62,78.75,85.62,0,-0.01,0,-0.01
13,20,24,220.78,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,337.5,105.62,74.38,81.88,0,-0.01,0,-0.01
13,20,25,220.8,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,337.5,105.62,74.38,83.12,0,-0.01,0,-0.01
13,20,26,220.82,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,338.75,105.62,76.25,83.12,0,-0.01,0,-0.01
13,20,27,220.83,6.586289593,15.17857143,4.344,10.62195979,0,800.1,799.9,800,762,794,793,781,340,105.62,76.25,82.5,0,-0.01,0,0
13,20,28,220.85,6.586289593,15.17857143,4.344,10.62195979,0,800.1,799.9,800,762,794,793,781,335.62,105,76.25,80.62,0.01,-0.01,0,-0.01
13,20,29,220.87,6.586289593,15.17857143,4.344,10.62195979,0,800.1,799.9,800,762,794,793,781,335.62,104.38,75.62,82.5,0.01,-0.01,0,0
13,20,30,220.88,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,335,104.38,75.62,82.5,0,-0.01,0,0
13,20,31,220.9,6.586289593,15.17857143,4.344,10.62195979,0,800.1,799.9,800,762,794,793,781,335,104.38,75.62,83.12,0,-0.01,0,0
13,20,32,220.92,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,336.88,105,76.25,83.12,0,-0.01,0,0
13,20,33,220.93,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,799.9,762,794,793,781,335,105,73.75,80,0,-0.01,0,0
13,20,34,220.95,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,335.62,105,73.75,81.88,0,-0.01,0,0.01
13,20,35,220.97,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,800,762,794,793,781,335.62,105,72.5,80,0,-0.01,0,0
13,20,36,220.98,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,799.9,762,794,793,781,334.38,103.12,72.5,79.38,0,-0.01,0,0
13,20,37,221,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,799.9,762,794,793,781,334.38,103.12,72.5,79.38,0,-0.01,0,0.01
13,20,38,221.02,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,799.9,762,794,793,781,331.88,102.5,71.25,79.38,0,-0.03,0,0.01
13,20,39,221.03,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,799.9,762,794,793,781,329.38,100,73.12,80,0,-0.03,0,0.01
13,20,40,221.05,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,799.9,762,794,793,781,332.5,101.88,76.25,82.5,0,-0.03,0,0.01
13,20,41,221.07,6.586289593,15.17857143,4.344,10.62195979,0,800,799.9,799.9,762,794,793,781,330.62,101.25,74.38,81.88,0,-0.03,0,0.01
