Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
10,58,41,150.0,4.3497,21.629,0,0,10.705,799.2,800.9,806.4,769,792,797,779,390.62,158.12,154.38,153.12,0.17,0.03,0.01,0.15
10,58,42,150.02,4.3497,21.629,0,0,10.705,799.2,800.9,806.4,769,792,797,779,390.62,158.12,149.38,153.12,0.17,0.03,0.0,0.15
10,58,43,150.03,4.3497,21.629,0,0,10.705,799.2,800.9,806.5,769,792,797,779,390.0,158.12,150.0,154.38,0.17,0.04,0.01,0.15
10,58,44,150.05,4.3497,21.629,0,0,10.705,799.2,800.9,806.6,769,792,797,779,390.62,157.5,149.38,154.38,0.17,0.04,0.01,0.15
10,58,45,150.07,4.3497,21.629,0,0,10.705,799.2,800.9,806.6,769,792,797,779,393.75,158.12,150.0,155.62,0.18,0.03,0.01,0.15
10,58,46,150.08,4.3497,21.629,0,0,10.705,799.2,800.9,806.6,769,792,797,779,393.75,156.25,148.12,154.38,0.18,0.03,0.01,0.15
10,58,47,150.1,4.3497,21.629,0,0,10.705,799.2,800.9,806.7,769,792,797,779,393.75,156.25,148.12,154.38,0.17,0.03,0.01,0.15
10,58,48,150.12,4.3497,21.629,0,0,10.705,799.2,800.9,806.7,769,792,797,779,393.75,155.62,148.75,158.12,0.17,0.03,0.01,0.15
10,58,49,150.13,4.3497,21.629,0,0,10.705,799.2,800.9,806.7,769,792,797,779,394.38,155.0,145.0,155.62,0.17,0.03,0.0,0.15
10,58,50,150.15,4.3497,21.629,0,0,10.705,799.2,800.9,806.8,769,792,797,779,393.75,153.12,146.88,156.25,0.17,0.04,0.0,0.15
10,58,51,150.17,4.3497,21.629,0,0,10.705,799.2,800.9,806.8,770,792,797,779,393.75,154.38,148.12,157.5,0.17,0.03,0.0,0.15
10,58,52,150.18,4.3497,21.629,0,0,10.705,799.2,800.9,806.8,770,792,797,779,394.38,155.0,149.38,160.62,0.17,0.03,0.01,0.15
10,58,53,150.2,4.3497,21.629,0,0,10.705,799.2,800.9,806.9,770,792,797,779,394.38,155.0,149.38,159.38,0.17,0.03,0.01,0.15
10,58,54,150.22,4.3497,21.629,0,0,10.705,799.2,800.9,806.9,770,792,797,779,394.38,156.25,150.0,159.38,0.17,0.03,0.0,0.15
10,58,55,150.23,4.3497,21.629,0,0,10.705,799.2,800.9,806.9,770,792,797,779,393.75,156.25,148.75,158.12,0.17,0.03,0.0,0.15
