Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
12,8,27,120.0,4.450666667,21.62946429,0,0,10.70535714,800.1,800.3,800.0,783,799,795,780,328.12,96.25,95.62,100.0,0.0,0.0,0.0,0.04
12,8,28,120.02,4.450666667,21.62946429,0,0,10.70535714,800.1,800.3,800.0,783,799,795,780,328.12,101.88,96.25,104.38,-0.01,0.0,0.0,0.04
12,8,29,120.03,4.450666667,21.62946429,0,0,10.70535714,800.1,800.3,800.0,783,799,795,780,329.38,103.12,92.5,101.25,-0.01,0.0,0.0,0.04
12,8,30,120.05,4.450666667,21.62946429,0,0,10.70535714,800.1,800.3,800.0,783,799,795,780,329.38,101.25,90.0,98.75,-0.01,0.0,0.0,0.05
12,8,31,120.07,4.450666667,21.62946429,0,0,10.70535714,800.1,800.3,800.0,783,799,795,780,329.38,101.25,90.0,99.38,-0.01,0.0,0.0,0.04
12,8,32,120.08,4.450666667,21.62946429,0,0,10.70535714,800.1,800.3,800.0,783,799,795,780,328.75,100.0,91.25,99.38,-0.01,0.0,0.0,0.05
12,8,33,120.1,4.450666667,21.62946429,0,0,10.70535714,800.1,800.3,800.0,783,799,795,780,329.38,101.88,93.12,101.25,-0.01,0.0,0.0,0.04
12,8,34,120.12,4.450666667,21.62946429,0,0,10.70535714,800.1,800.3,800.0,783,799,795,780,329.38,101.88,94.38,100.0,-0.01,0.0,0.0,0.04
12,8,35,120.13,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.0,783,799,795,780,328.75,101.25,92.5,99.38,-0.01,0.0,0.0,0.04
12,8,36,120.15,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.0,783,799,795,780,327.5,100.0,92.5,98.75,-0.01,0.0,0.0,0.04
12,8,37,120.17,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.0,783,799,795,780,327.5,100.0,92.5,98.12,-0.01,0.0,0.0,0.04
12,8,38,120.18,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.0,783,799,795,780,328.12,98.75,91.25,98.12,-0.01,0.0,0.0,0.04
12,8,39,120.2,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.1,783,799,795,780,328.12,98.12,91.88,98.12,-0.01,0.0,0.0,0.04
12,8,40,120.22,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.0,783,799,795,780,328.12,100.0,94.38,101.25,-0.01,0.0,0.0,0.04
12,8,41,120.23,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.1,783,799,795,780,328.12,101.25,94.38,101.88,-0.01,0.0,0.0,0.04
12,8,42,120.25,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.1,783,799,795,780,330.62,102.5,95.62,103.12,0.0,0.0,0.0,0.04
12,8,43,120.27,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.0,783,799,795,780,330.62,102.5,95.62,105.0,0.0,0.0,0.0,0.04
12,8,44,120.28,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.1,783,799,795,780,330.62,104.38,96.25,105.0,-0.01,0.0,0.0,0.04
12,8,45,120.3,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.1,783,799,795,780,329.38,104.38,95.0,102.5,0.0,0.0,0.0,0.04
12,8,46,120.32,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.1,783,799,795,780,329.38,101.88,92.5,100.0,0.0,-0.01,0.0,0.04
12,8,47,120.33,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.0,783,799,795,780,328.12,100.0,91.25,98.12,0.0,0.0,0.0,0.04
12,8,48,120.35,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.0,783,799,795,780,328.12,99.38,91.25,98.75,-0.01,0.0,0.0,0.04
12,8,49,120.37,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.0,783,799,795,780,328.12,99.38,91.25,102.5,-0.01,0.0,0.0,0.04
12,8,50,120.38,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.1,783,799,795,780,328.75,101.25,95.0,102.5,-0.01,0.0,0.0,0.04
12,8,51,120.4,4.450666667,21.62946429,0,0,10.70535714,800.1,800.2,800.0,783,799,795,780,329.38,103.12,95.0,103.12,0.0,0.01,0.0,0.04
12,8,52,120.42,4.450666667,21.62946429,0,0,10.70535714,800.1,800.1,800.0,783,799,795,780,329.38,104.38,95.62,104.38,-0.01,0.01,0.0,0.04
12,8,53,120.43,4.450666667,21.62946429,0,0,10.70535714,800.1,800.1,800.1,783,799,795,780,329.38,105.0,97.5,105.0,-0.01,0.01,0.0,0.04
12,8,54,120.45,4.450666667,21.62946429,0,0,10.70535714,800.1,800.1,800.1,783,799,795,780,330.62,104.38,94.38,101.88,-0.01,0.01,0.0,0.04
12,8,55,120.47,4.450666667,21.62946429,0,0,10.70535714,800.1,800.1,800.1,783,799,795,780,330.62,104.38,94.38,102.5,-0.01,0.01,0.0,0.04
12,8,56,120.48,4.450666667,21.62946429,0,0,10.70535714,800.0,800.1,800.1,783,799,795,780,330.62,102.5,95.0,102.5,0.0,0.01,0.0,0.04
12,8,57,120.5,4.450666667,21.62946429,0,0,10.70535714,800.0,800.1,800.1,783,799,795,780,329.38,102.5,95.0,101.25,0.0,0.0,0.0,0.03
12,8,58,120.52,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,329.38,101.25,93.12,98.12,0.0,0.0,0.0,0.04
12,8,59,120.53,4.450666667,21.62946429,0,0,10.70535714,800.1,800.0,800.1,783,799,795,780,328.75,101.88,95.0,99.38,0.0,0.0,0.0,0.04
12,9,0,120.55,4.450666667,21.62946429,0,0,10.70535714,800.1,800.0,800.1,783,799,795,780,328.12,102.5,94.38,98.12,0.0,0.01,0.0,0.03
12,9,1,120.57,4.450666667,21.62946429,0,0,10.70535714,800.1,800.0,800.1,783,799,795,780,328.12,102.5,94.38,100.0,0.0,0.01,0.0,0.03
12,9,2,120.58,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,328.75,103.12,96.25,100.0,-0.01,0.01,0.0,0.03
12,9,3,120.6,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,328.75,105.0,98.12,101.88,-0.01,0.01,0.0,0.03
12,9,4,120.62,4.450666667,21.62946429,0,0,10.70535714,800.1,800.0,800.1,783,799,795,780,328.75,105.0,98.12,100.0,-0.01,0.01,0.0,0.04
12,9,5,120.63,4.450666667,21.62946429,0,0,10.70535714,800.1,800.0,800.1,783,799,795,780,329.38,105.0,96.25,100.0,-0.01,0.0,0.0,0.04
12,9,6,120.65,4.450666667,21.62946429,0,0,10.70535714,800.1,800.0,800.1,783,799,795,780,329.38,103.12,95.62,99.38,-0.01,0.0,0.0,0.03
12,9,7,120.67,4.450666667,21.62946429,0,0,10.70535714,800.1,800.0,800.1,783,799,795,780,329.38,103.12,95.62,98.12,-0.01,0.0,0.0,0.03
12,9,8,120.68,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,329.38,101.25,94.38,98.12,-0.01,0.0,0.0,0.04
12,9,9,120.7,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,330.62,100.0,95.62,98.75,0.0,0.01,0.0,0.04
12,9,10,120.72,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,329.38,102.5,98.75,101.88,0.0,0.01,0.0,0.03
12,9,11,120.73,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,329.38,102.5,95.62,99.38,0.0,0.0,0.0,0.03
12,9,12,120.75,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,330.62,99.38,94.38,96.88,0.0,0.0,0.0,0.03
12,9,13,120.77,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,330.62,99.38,94.38,98.75,0.0,0.0,0.0,0.03
12,9,14,120.78,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,329.38,99.38,96.25,98.75,0.0,0.01,0.0,0.03
12,9,15,120.8,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,329.38,98.12,91.88,95.0,0.0,0.0,0.0,0.03
12,9,16,120.82,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,329.38,98.75,97.5,99.38,0.0,0.01,0.0,0.04
12,9,17,120.83,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,329.38,101.88,98.12,101.25,0.0,0.0,0.0,0.04
12,9,18,120.85,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,330.62,101.88,95.0,100.0,0.0,0.0,0.0,0.04
12,9,19,120.87,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,330.62,101.88,95.0,101.25,0.0,0.0,0.0,0.04
12,9,20,120.88,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,330.62,101.88,95.62,101.25,0.0,0.0,0.0,0.04
12,9,21,120.9,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,330.62,101.88,95.0,100.0,0.0,0.01,0.0,0.04
12,9,22,120.92,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,331.88,103.12,98.12,102.5,0.0,0.01,0.0,0.04
12,9,23,120.93,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,331.25,103.12,94.38,99.38,-0.01,0.01,0.0,0.04
12,9,24,120.95,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.0,783,799,795,780,330.62,99.38,91.25,95.0,-0.01,0.01,0.0,0.04
12,9,25,120.97,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,330.62,99.38,91.25,96.88,-0.01,0.01,0.0,0.04
12,9,26,120.98,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,328.75,99.38,93.12,96.88,0.0,0.01,0.0,0.04
12,9,27,121.0,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,783,799,795,780,330.62,100.0,93.12,96.25,-0.01,0.01,0.0,0.04
12,9,28,121.02,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.0,783,799,795,780,328.12,100.0,94.38,96.88,-0.01,0.0,0.0,0.04
12,9,29,121.03,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.0,783,799,795,780,327.5,100.0,95.0,98.75,0.0,0.0,0.0,0.04
12,9,30,121.05,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.1,784,799,795,780,328.12,100.0,95.0,98.75,-0.01,0.0,0.0,0.04
12,9,31,121.07,4.450666667,21.62946429,0,0,10.70535714,800.0,800.0,800.0,784,799,795,780,328.12,100.0,95.0,96.25,-0.01,0.0,0.0,0.04
