Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
12,59,8,107.0,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,310.62,89.38,82.5,84.38,-0.01,0.0,0.0,0.03
12,59,9,107.02,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,311.88,88.75,79.38,84.38,-0.01,0.0,0.0,0.03
12,59,10,107.03,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,310.62,86.25,79.38,83.12,-0.01,-0.01,0.0,0.01
12,59,11,107.05,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,310.62,86.25,81.88,86.25,-0.01,-0.01,0.0,0.03
12,59,12,107.07,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.1,800.1,787,797,795,780,311.88,86.25,80.0,83.75,-0.01,-0.01,0.0,0.01
12,59,13,107.08,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.1,800.1,787,797,795,780,311.88,86.25,80.62,85.62,-0.01,-0.01,0.0,0.03
12,59,14,107.1,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.1,800.1,787,797,795,780,311.88,86.25,80.62,90.0,-0.01,0.0,0.0,0.03
12,59,15,107.12,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,312.5,88.75,85.0,90.0,0.0,0.0,0.0,0.03
12,59,16,107.13,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,313.12,89.38,81.88,87.5,-0.01,-0.01,0.0,0.03
12,59,17,107.15,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,313.75,89.38,83.12,87.5,0.0,0.0,0.0,0.03
12,59,18,107.17,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,315.0,91.25,85.0,89.38,-0.01,0.0,0.0,0.03
12,59,19,107.18,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,313.75,91.25,83.75,88.75,-0.01,0.0,0.0,0.03
12,59,20,107.2,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,313.75,91.25,83.75,90.0,-0.01,0.0,0.0,0.03
12,59,21,107.22,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,312.5,91.88,83.75,90.0,-0.01,0.0,0.0,0.03
12,59,22,107.23,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,312.5,91.25,85.0,88.75,-0.01,0.0,0.0,0.03
12,59,23,107.25,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,312.5,90.0,85.62,90.0,-0.01,0.0,0.0,0.03
12,59,24,107.27,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,312.5,88.75,86.25,90.0,-0.01,0.0,0.0,0.03
12,59,25,107.28,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,312.5,88.12,83.12,88.75,-0.01,0.0,0.0,0.03
12,59,26,107.3,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,312.5,88.12,83.12,89.38,-0.01,0.0,0.0,0.03
12,59,27,107.32,4.483684211,19.62589286,2.714285714,6.635853659,0,800.2,800.2,800.1,787,797,795,780,312.5,86.25,85.0,89.38,-0.01,0.0,0.0,0.03
