Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
14,29,6,0.02,4.123166667,23.83035714,0,0,11.1375,800.0,799.6,800.6,764,770,792,778,526.88,272.5,273.75,261.88,2.09,15.39,4.07,3.99
14,29,7,0.03,4.123166667,23.83035714,0,0,11.1375,800.0,799.5,800.6,764,770,792,778,533.12,272.5,271.88,268.75,2.09,15.39,4.08,3.99
14,29,8,0.05,4.123166667,23.83035714,0,0,11.1375,800.0,799.5,800.7,764,770,792,778,535.62,272.5,271.25,268.12,2.07,15.39,4.09,3.99
14,29,9,0.07,4.123166667,23.83035714,0,0,11.1375,800.0,799.6,800.7,764,770,792,778,535.62,272.5,271.25,275.0,2.07,15.39,4.11,4.01
14,29,10,0.08,4.123166667,23.83035714,0,0,11.1375,800.0,799.6,800.6,764,770,792,778,539.38,272.5,270.62,275.0,2.07,15.39,4.14,4.01
14,29,11,0.1,4.123166667,23.83035714,0,0,11.1375,800.0,799.6,800.7,764,770,792,778,551.25,275.62,271.25,288.12,2.07,15.41,4.2,4.03
14,29,12,0.12,4.123166667,23.83035714,0,0,11.1375,799.9,799.5,800.7,764,770,791,778,570.62,283.75,275.0,313.75,2.07,15.43,4.28,4.04
14,29,13,0.13,4.123166667,23.83035714,0,0,11.1375,800.0,799.6,800.7,764,770,791,778,594.38,294.38,280.0,335.0,2.07,15.43,4.37,4.07
14,29,14,0.15,4.123166667,23.83035714,0,0,11.1375,800.0,799.6,800.7,764,770,791,778,610.62,305.62,286.88,348.75,2.09,15.43,4.47,4.11
14,29,15,0.17,4.123166667,23.83035714,0,0,11.1375,800.0,799.6,800.7,764,770,791,778,610.62,305.62,286.88,350.62,2.09,15.43,4.47,4.18
14,29,16,0.18,4.123166667,23.83035714,0,0,11.1375,800.0,799.6,800.8,764,770,791,778,615.0,316.25,293.12,350.62,2.09,15.43,4.57,4.18
14,29,17,0.2,4.123166667,23.83035714,0,0,11.1375,800.0,799.5,800.8,764,770,791,778,608.12,323.12,298.75,339.38,2.12,15.43,4.66,4.22
14,29,18,0.22,4.123166667,23.83035714,0,0,11.1375,799.9,799.5,800.8,764,770,791,778,592.5,325.62,300.62,324.38,2.12,15.41,4.74,4.3
14,29,19,0.23,4.123166667,23.83035714,0,0,11.1375,799.9,799.5,800.8,764,770,791,778,572.5,321.88,300.62,302.5,2.13,15.39,4.78,4.36
14,29,20,0.25,4.123166667,23.83035714,0,0,11.1375,799.9,799.5,800.8,764,770,791,778,555.0,315.62,296.88,285.0,2.14,15.39,4.79,4.41
14,29,21,0.27,4.123166667,23.83035714,0,0,11.1375,799.9,799.5,800.8,764,770,791,778,548.12,311.25,296.88,275.0,2.14,15.39,4.79,4.46
14,29,22,0.28,4.123166667,23.83035714,0,0,11.1375,799.9,799.5,800.8,764,770,791,778,541.88,307.5,294.38,275.0,2.13,15.36,4.77,4.46
14,29,23,0.3,4.123166667,23.83035714,0,0,11.1375,800.0,799.5,800.8,764,770,791,778,538.12,300.0,291.25,269.38,2.13,15.35,4.73,4.46
14,29,24,0.32,4.123166667,23.83035714,0,0,11.1375,800.0,799.5,800.8,764,770,791,778,539.38,292.5,288.12,271.88,2.14,15.31,4.68,4.46
14,29,25,0.33,4.123166667,23.83035714,0,0,11.1375,800.0,799.5,800.8,764,770,792,778,536.88,287.5,286.88,269.38,2.13,15.3,4.61,4.45
14,29,26,0.35,4.123166667,23.83035714,0,0,11.1375,800.0,799.5,800.8,764,770,792,778,529.38,283.12,284.38,260.0,2.13,15.29,4.54,4.41
14,29,27,0.37,4.123166667,23.83035714,0,0,11.1375,799.9,799.5,800.8,764,770,792,778,520.0,277.5,281.25,255.62,2.13,15.29,4.54,4.39
