Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,O2,H2
13,7,16,0.02,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,366.25,126.88,115,120,3.3,1.26,0.16,-0.14,5.85
13,7,17,0.03,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365.62,126.25,115,120,3.33,1.27,0.16,-0.14,5.86
13,7,18,0.05,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365.62,126.88,113.75,118.75,3.35,1.29,0.16,-0.14,5.9
13,7,19,0.07,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365,127.5,112.5,120,3.38,1.29,0.16,-0.14,5.94
13,7,20,0.08,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365,127.5,112.5,118.75,3.38,1.29,0.16,-0.14,5.97
13,7,21,0.1,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365,127.5,113.75,118.75,3.4,1.33,0.16,-0.14,5.97
13,7,22,0.12,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365,129.38,117.5,121.88,3.42,1.33,0.16,-0.13,6.03
13,7,23,0.13,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365,132.5,121.88,128.12,3.45,1.34,0.17,-0.13,6.06
13,7,24,0.15,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365.62,133.75,121.25,126.88,3.48,1.35,0.17,-0.13,6.12
13,7,25,0.17,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365.62,133.12,118.75,125,3.51,1.36,0.17,-0.13,6.18
13,7,26,0.18,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365.62,133.12,118.75,125,3.51,1.36,0.17,-0.12,6.22
13,7,27,0.2,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,366.25,133.75,118.75,125,3.56,1.39,0.17,-0.12,6.22
13,7,28,0.22,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365.62,133.12,118.75,124.38,3.57,1.4,0.17,-0.13,6.28
13,7,29,0.23,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365.62,132.5,118.75,124.38,3.6,1.41,0.17,-0.12,6.31
13,7,30,0.25,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365.62,131.25,118.75,124.38,3.63,1.42,0.17,-0.12,6.35
13,7,31,0.27,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365.62,130.62,116.88,121.88,3.63,1.45,0.17,-0.13,6.38
13,7,32,0.28,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365.62,129.38,115.62,121.25,3.63,1.45,0.17,-0.12,6.41
13,7,33,0.3,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365.62,129.38,115.62,121.25,3.64,1.46,0.17,-0.12,6.41
13,7,34,0.32,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365.62,129.38,117.5,123.12,3.66,1.48,0.17,-0.12,6.41
13,7,35,0.33,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.1,799.7,779,797,794,779,365.62,130,118.75,125,3.66,1.48,0.18,-0.12,6.43
13,7,36,0.35,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.2,799.7,779,797,794,779,365.62,130,117.5,123.75,3.66,1.49,0.18,-0.12,6.43
13,7,37,0.37,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.1,799.7,779,797,794,779,365.62,129.38,117.5,123.12,3.66,1.49,0.18,-0.12,6.41
13,7,38,0.38,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.1,799.7,779,797,794,779,366.25,130,118.12,123.75,3.66,1.51,0.18,-0.12,6.4
13,7,39,0.4,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.1,799.7,779,797,794,779,366.25,130,118.12,123.75,3.64,1.51,0.18,-0.12,6.4
13,7,40,0.42,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.1,799.7,779,797,794,779,365,129.38,118.12,123.75,3.64,1.52,0.18,-0.12,6.4
13,7,41,0.43,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.1,799.7,779,797,794,779,365,129.38,120.62,126.25,3.63,1.52,0.17,-0.12,6.38
13,7,42,0.45,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.1,799.7,779,797,794,779,365.62,130.62,120.62,126.25,3.6,1.54,0.17,-0.13,6.34
13,7,43,0.47,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.1,799.7,779,797,794,779,365,131.25,120,125,3.6,1.54,0.17,-0.13,6.3
13,7,44,0.48,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.1,799.7,779,797,794,779,365,132.5,118.75,123.75,3.6,1.54,0.17,-0.12,6.25
13,7,45,0.5,4.503090909,15.17857143,2.714285714,6.550677966,0,800.4,799.1,799.7,779,797,794,779,365,132.5,118.75,123.75,3.57,1.54,0.17,-0.12,6.25
