 Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
150.0,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.0,800.5,800.3,772,790,793,780,355.62,129.38,110.62,117.5,-0.01,0.0,0.0,0.05
150.02,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.0,800.5,800.3,772,790,793,780,355.62,123.75,108.12,114.38,-0.01,0.0,0.0,0.05
150.03,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.0,800.5,800.3,772,790,793,780,355.62,124.38,109.38,115.62,-0.01,0.0,0.0,0.05
150.05,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.0,800.5,800.3,772,790,793,780,355.62,124.38,109.38,115.62,-0.01,0.0,0.0,0.05
150.07,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.0,800.5,800.3,772,790,793,780,355.62,123.75,107.5,113.75,-0.01,0.01,0.0,0.05
150.08,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.0,800.5,800.3,772,790,793,780,355.62,123.75,107.5,114.38,-0.01,0.0,0.0,0.05
150.1,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.0,800.5,800.3,772,790,793,780,356.25,126.25,110.62,116.88,-0.01,0.0,0.0,0.05
150.12,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.0,800.5,800.3,772,790,793,780,356.25,125.0,109.38,115.62,-0.03,0.0,0.0,0.05
150.13,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.0,800.5,800.3,772,790,793,780,356.25,126.88,111.25,117.5,-0.03,0.0,0.0,0.05
150.15,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.0,800.5,800.3,772,790,793,780,356.25,126.88,111.25,117.5,-0.01,0.0,0.0,0.05
150.17,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.0,800.5,800.3,772,790,793,780,356.88,127.5,111.25,118.12,-0.01,0.01,0.0,0.05
150.18,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.0,800.5,800.3,772,790,793,780,356.25,126.88,109.38,116.88,-0.03,0.0,0.0,0.05
150.2,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.0,800.5,800.3,772,790,793,780,356.25,123.75,108.12,115.0,-0.01,0.0,0.0,0.05
