Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
14,15,42,252.0,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,461.25,221.88,193.75,203.12,-0.05,-0.55,-0.01,0.0
14,15,43,252.02,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,462.5,221.88,193.75,203.12,-0.05,-0.55,-0.01,0.0
14,15,44,252.03,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,460.62,221.88,192.5,200.62,-0.05,-0.55,-0.01,0.0
14,15,45,252.05,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,459.38,221.25,191.88,201.88,-0.05,-0.55,-0.01,0.0
14,15,46,252.07,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,459.38,221.25,191.88,201.88,-0.05,-0.55,-0.01,0.0
14,15,47,252.08,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,460.62,221.88,191.88,201.88,-0.05,-0.55,-0.01,0.0
14,15,48,252.1,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,460.62,220.62,191.88,200.62,-0.05,-0.55,-0.01,0.0
14,15,49,252.12,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,456.88,218.75,191.88,196.88,-0.05,-0.55,-0.01,0.0
14,15,50,252.13,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,457.5,218.75,190.62,200.0,-0.05,-0.54,-0.01,-0.01
14,15,51,252.15,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,460.62,218.75,191.88,201.88,-0.05,-0.54,-0.01,0.0
14,15,52,252.17,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,460.62,218.75,191.88,203.12,-0.05,-0.54,-0.01,-0.01
14,15,53,252.18,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,460.62,218.75,192.5,203.12,-0.05,-0.54,-0.01,-0.01
14,15,54,252.2,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,459.38,219.38,192.5,200.0,-0.05,-0.54,-0.01,-0.01
14,15,55,252.22,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,456.25,219.38,192.5,197.5,-0.05,-0.54,-0.01,0.0
14,15,56,252.23,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,456.25,219.38,192.5,199.38,-0.03,-0.54,-0.01,0.0
14,15,57,252.25,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,458.12,219.38,193.12,200.0,-0.03,-0.54,-0.01,-0.01
14,15,58,252.27,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,458.12,219.38,193.12,199.38,-0.03,-0.54,-0.01,0.0
14,15,59,252.28,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,458.12,220.62,193.75,199.38,-0.05,-0.54,-0.01,0.0
14,16,0,252.3,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,458.12,220.62,195.0,200.0,-0.03,-0.54,-0.01,0.0
14,16,1,252.32,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,456.25,221.88,193.75,196.25,-0.05,-0.54,-0.01,0.0
14,16,2,252.33,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,457.5,221.88,195.0,199.38,-0.03,-0.54,-0.01,0.0
14,16,3,252.35,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,459.38,221.88,195.0,200.0,-0.05,-0.54,-0.01,-0.01
14,16,4,252.37,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,459.38,221.88,195.0,199.38,-0.05,-0.54,-0.01,0.0
14,16,5,252.38,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,458.12,221.88,195.0,199.38,-0.03,-0.54,-0.01,0.0
14,16,6,252.4,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,460.0,222.5,196.88,202.5,-0.03,-0.54,-0.01,0.0
14,16,7,252.42,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,462.5,225.62,198.12,201.88,-0.05,-0.54,-0.01,0.0
14,16,8,252.43,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,460.62,225.0,196.88,203.12,-0.03,-0.54,-0.01,0.0
14,16,9,252.45,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,464.38,225.0,196.88,203.75,-0.05,-0.54,-0.01,0.0
14,16,10,252.47,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,460.62,224.38,195.0,200.62,-0.05,-0.54,-0.01,0.0
14,16,11,252.48,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,462.5,222.5,195.0,202.5,-0.05,-0.54,-0.01,0.0
14,16,12,252.5,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,462.5,222.5,195.0,202.5,-0.03,-0.54,-0.01,0.0
14,16,13,252.52,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,460.62,221.88,195.0,203.75,-0.03,-0.55,-0.01,0.0
14,16,14,252.53,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,460.0,221.88,195.0,200.62,-0.05,-0.55,-0.01,0.0
14,16,15,252.55,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,458.12,221.88,193.12,199.38,-0.05,-0.55,-0.01,0.0
14,16,16,252.57,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,460.62,221.25,191.88,202.5,-0.05,-0.55,-0.01,0.0
14,16,17,252.58,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,460.62,221.25,191.88,202.5,-0.05,-0.55,-0.01,0.0
14,16,18,252.6,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,463.12,218.75,192.5,203.75,-0.05,-0.54,-0.01,-0.01
14,16,19,252.62,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,459.38,219.38,193.75,201.88,-0.05,-0.54,-0.01,0.0
14,16,20,252.63,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,458.12,220.62,195.62,199.38,-0.03,-0.55,-0.01,0.0
14,16,21,252.65,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,457.5,221.88,195.0,198.75,-0.03,-0.54,-0.01,0.0
14,16,22,252.67,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,457.5,221.88,195.0,199.38,-0.03,-0.54,-0.01,0.0
14,16,23,252.68,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,458.12,221.88,195.62,199.38,-0.05,-0.54,-0.01,0.0
14,16,24,252.7,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,458.12,221.88,195.62,200.0,-0.03,-0.54,-0.01,0.0
14,16,25,252.72,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,459.38,222.5,198.12,199.38,-0.03,-0.54,-0.01,0.0
14,16,26,252.73,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,458.12,222.5,198.12,198.75,-0.03,-0.54,-0.01,0.0
14,16,27,252.75,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,456.88,224.38,196.25,197.5,-0.03,-0.54,-0.01,0.0
14,16,28,252.77,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,456.88,224.38,196.25,200.0,-0.03,-0.54,-0.01,0.0
14,16,29,252.78,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,460.62,224.38,195.62,200.0,-0.03,-0.54,-0.01,0.0
14,16,30,252.8,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,462.5,223.75,195.0,203.75,-0.03,-0.55,-0.01,0.0
14,16,31,252.82,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,462.5,222.5,195.0,205.62,-0.03,-0.54,-0.01,0.0
14,16,32,252.83,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,463.75,221.88,195.0,205.62,-0.03,-0.55,-0.01,0.0
14,16,33,252.85,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,463.75,221.88,195.62,206.88,-0.05,-0.55,-0.01,0.0
14,16,34,252.87,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,463.75,221.88,195.62,211.25,-0.05,-0.55,-0.01,0.0
14,16,35,252.88,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,795,776,475.0,224.38,195.62,218.75,-0.05,-0.55,-0.01,0.0
14,16,36,252.9,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,785,795,776,475.0,224.38,195.62,218.75,-0.05,-0.55,-0.01,0.0
14,16,37,252.92,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,785,795,776,488.75,225.62,198.12,235.0,-0.05,-0.54,-0.01,0.0
14,16,38,252.93,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,785,795,776,506.88,228.12,205.62,253.75,-0.05,-0.54,-0.01,-0.01
14,16,39,252.95,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,785,794,776,513.75,233.75,212.5,258.75,-0.03,-0.54,-0.01,-0.01
14,16,40,252.97,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,785,794,776,508.12,238.12,218.12,246.88,-0.03,-0.54,-0.01,-0.01
14,16,41,252.98,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,785,794,776,508.12,238.12,218.12,240.62,-0.03,-0.54,-0.01,0.0
14,16,42,253.0,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,785,794,776,501.88,242.5,221.88,240.62,-0.05,-0.54,-0.01,0.0
14,16,43,253.02,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,785,794,776,500.0,244.38,223.75,241.25,-0.05,-0.54,-0.01,0.0
14,16,44,253.03,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,785,794,776,506.88,247.5,227.5,249.38,-0.03,-0.54,-0.01,-0.01
14,16,45,253.05,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,785,794,776,510.62,250.0,230.62,250.62,-0.03,-0.54,-0.01,-0.01
14,16,46,253.07,4.151777778,27.14839286,93.67008,0,0,800.0,800.0,800.0,759,786,794,776,511.88,251.88,236.25,251.25,-0.03,-0.54,-0.01,0.0
14,16,47,253.08,4.151777778,27.14839286,93.67008,0,0,800.0,799.9,800.0,759,786,794,776,511.88,251.88,236.25,243.12,-0.03,-0.54,-0.01,0.0
14,16,48,253.1,4.151777778,27.14839286,93.67008,0,0,800.0,799.9,800.0,759,786,794,776,504.38,255.0,237.5,243.12,-0.03,-0.54,-0.01,0.0
14,16,49,253.12,4.151777778,27.14839286,93.67008,0,0,800.0,799.9,800.0,759,786,795,776,494.38,256.88,236.25,231.25,-0.05,-0.54,-0.01,0.0
14,16,50,253.13,4.151777778,27.14839286,93.67008,0,0,800.0,799.9,800.0,759,786,795,776,486.25,256.88,234.38,225.62,-0.03,-0.54,-0.01,0.0
14,16,51,253.15,4.151777778,27.14839286,93.67008,0,0,800.0,799.9,800.0,759,786,794,776,483.12,255.62,231.25,220.62,-0.03,-0.54,-0.01,0.0
