Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
13,8,19,231.0,4.201333333,31.24660714,90.048,0,0,800.0,799.9,799.9,758,781,795,777,296.25,60.62,25.62,30.62,-0.03,0.0,0.0,0.05
13,8,20,231.02,4.201333333,31.24660714,90.048,0,0,800.0,799.9,799.9,758,781,795,777,296.25,60.62,25.62,30.62,-0.03,0.0,0.0,0.05
13,8,21,231.03,4.201333333,31.24660714,90.048,0,0,800.0,799.9,799.9,758,781,795,777,295.62,60.62,26.25,29.38,-0.03,0.0,0.0,0.05
13,8,22,231.05,4.201333333,31.24660714,90.048,0,0,800.0,799.9,799.9,758,781,795,777,296.25,60.62,26.25,30.0,-0.03,-0.01,0.0,0.05
13,8,23,231.07,4.201333333,31.24660714,90.048,0,0,800.0,799.9,799.9,758,781,795,777,296.88,60.62,26.25,31.88,-0.01,-0.01,0.0,0.05
13,8,24,231.08,4.201333333,31.24660714,90.048,0,0,800.0,799.9,799.9,758,781,795,777,298.75,60.62,26.88,32.5,-0.05,0.0,0.0,0.05
13,8,25,231.1,4.201333333,31.24660714,90.048,0,0,800.0,799.9,799.9,758,781,795,777,297.5,60.62,27.5,33.12,-0.05,0.0,0.0,0.05
13,8,26,231.12,4.201333333,31.24660714,90.048,0,0,800.0,799.9,799.9,758,781,795,777,297.5,60.62,27.5,33.12,-0.03,-0.01,0.0,0.05
13,8,27,231.13,4.201333333,31.24660714,90.048,0,0,800.0,799.9,799.9,758,781,795,777,297.5,61.25,25.62,32.5,-0.03,-0.01,0.0,0.05
13,8,28,231.15,4.201333333,31.24660714,90.048,0,0,800.0,799.9,799.9,758,781,795,777,297.5,61.25,27.5,33.75,-0.03,0.0,0.0,0.05
13,8,29,231.17,4.201333333,31.24660714,90.048,0,0,800.0,799.9,799.9,758,781,795,777,300.0,61.88,27.5,36.25,-0.05,-0.01,0.0,0.05
