Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
13,41,25,258.4,4.328823529,27.14839286,90.048,0,0,800.0,799.4,799.4,775,780,795,776,528.75,301.25,256.25,263.12,0.0,0.0,0.0,0.11
13,41,26,258.42,4.328823529,27.14839286,90.048,0,0,800.0,799.4,799.4,775,779,795,776,526.88,300.0,256.25,260.62,0.0,0.01,0.0,0.11
13,41,27,258.43,4.328823529,27.14839286,90.048,0,0,800.0,799.4,799.4,775,779,795,776,528.75,300.62,255.62,260.62,0.0,0.0,0.0,0.11
13,41,28,258.45,4.328823529,27.14839286,90.048,0,0,800.0,799.4,799.4,775,779,795,776,527.5,302.5,255.62,260.62,0.0,0.0,0.0,0.11
13,41,29,258.47,4.328823529,27.14839286,90.048,0,0,799.9,799.4,799.4,775,780,795,776,527.5,302.5,255.62,261.88,0.0,0.01,0.0,0.11
13,41,30,258.48,4.328823529,27.14839286,90.048,0,0,799.9,799.4,799.4,775,780,795,776,529.38,304.38,255.62,261.88,0.0,0.01,0.0,0.1
13,41,31,258.5,4.328823529,27.14839286,90.048,0,0,800.0,799.4,799.4,775,780,795,776,529.38,304.38,256.25,263.12,-0.01,0.0,0.0,0.11
13,41,32,258.52,4.328823529,27.14839286,90.048,0,0,800.0,799.4,799.4,775,780,795,776,530.0,307.5,256.25,263.75,-0.01,0.0,0.0,0.11
13,41,33,258.53,4.328823529,27.14839286,90.048,0,0,800.0,799.4,799.4,775,780,795,776,530.62,306.25,256.88,265.0,0.0,0.01,0.0,0.11
13,41,34,258.55,4.328823529,27.14839286,90.048,0,0,800.0,799.4,799.4,775,780,795,776,530.62,305.62,256.88,265.0,0.0,0.01,0.0,0.11
13,41,35,258.57,4.328823529,27.14839286,90.048,0,0,800.0,799.4,799.4,775,780,795,776,530.62,305.62,256.88,265.0,-0.01,0.0,0.0,0.11
13,41,36,258.58,4.328823529,27.14839286,90.048,0,0,800.0,799.4,799.4,775,780,795,776,530.62,305.62,258.12,265.0,0.0,0.01,0.0,0.11
13,41,37,258.6,4.328823529,27.14839286,90.048,0,0,800.0,799.4,799.4,775,780,795,776,529.38,303.12,258.75,263.12,-0.01,0.0,0.0,0.11
13,41,38,258.62,4.328823529,27.14839286,90.048,0,0,800.0,799.4,799.4,775,780,795,776,528.75,303.12,258.75,263.75,0.0,0.01,0.0,0.11
