Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
12,37,38,17.1,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,380.62,146.25,132.5,138.75,-0.01,0.0,0.0,0.01
12,37,39,17.12,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,381.25,145.62,130.0,134.38,-0.01,0.0,0.0,0.01
12,37,40,17.13,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,381.25,145.62,130.0,134.38,-0.01,0.0,0.0,0.01
12,37,41,17.15,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,381.25,143.12,128.12,131.25,-0.01,0.0,0.0,0.01
12,37,42,17.17,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,794,795,780,381.25,143.12,130.62,133.75,-0.01,0.0,0.0,0.01
12,37,43,17.18,4.487,24.87160714,90.048,0,0,800.2,799.9,800.2,781,794,795,780,381.88,145.0,133.12,135.62,-0.01,-0.01,0.0,0.01
12,37,44,17.2,4.487,24.87160714,90.048,0,0,800.2,799.9,800.2,781,794,795,780,381.25,146.88,131.25,135.62,-0.01,0.0,0.0,0.01
12,37,45,17.22,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,794,795,780,381.88,145.62,132.5,135.62,-0.01,-0.01,0.0,0.01
12,37,46,17.23,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,381.88,145.62,132.5,139.38,-0.01,-0.01,0.0,0.01
12,37,47,17.25,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,384.38,148.75,134.38,139.38,-0.01,-0.01,0.0,0.03
12,37,48,17.27,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,382.5,150.0,133.12,138.75,-0.03,-0.01,0.0,0.03
12,37,49,17.28,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,381.88,146.25,130.62,139.38,-0.01,-0.01,0.0,0.03
12,37,50,17.3,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,381.88,146.25,133.12,140.62,-0.03,-0.01,0.0,0.01
12,37,51,17.32,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,381.88,146.25,133.12,138.75,-0.03,-0.01,0.0,0.01
12,37,52,17.33,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,381.88,145.62,128.12,138.75,-0.03,-0.01,0.0,0.01
12,37,53,17.35,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,381.25,139.38,125.0,133.75,-0.01,-0.01,0.0,0.03
12,37,54,17.37,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,380.62,142.5,131.25,138.75,-0.01,0.0,0.0,0.01
12,37,55,17.38,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,378.75,145.62,134.38,140.62,-0.01,0.0,0.0,0.01
12,37,56,17.4,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,378.75,146.25,133.12,139.38,-0.01,0.0,0.0,0.01
12,37,57,17.42,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,380.62,146.25,133.12,133.75,-0.01,0.0,0.0,0.01
12,37,58,17.43,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,379.38,142.5,129.38,133.75,-0.01,0.0,0.0,0.01
12,37,59,17.45,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,379.38,140.62,130.0,132.5,-0.01,0.0,0.0,0.01
12,38,0,17.47,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,380.62,142.5,131.25,135.62,-0.01,0.0,0.0,0.01
12,38,1,17.48,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,381.25,143.75,134.38,136.25,-0.01,0.0,0.0,0.01
12,38,2,17.5,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,381.88,148.12,133.12,136.25,-0.01,0.0,0.0,0.01
12,38,3,17.52,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,381.88,148.12,133.12,136.25,-0.01,0.0,0.0,0.01
12,38,4,17.53,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,381.88,148.75,131.25,136.25,-0.01,0.0,0.0,0.01
12,38,5,17.55,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,385.0,146.88,129.38,134.38,-0.01,0.0,0.0,0.01
12,38,6,17.57,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,384.38,146.25,130.62,136.25,-0.01,-0.01,0.0,0.03
12,38,7,17.58,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,383.75,145.62,130.0,136.25,-0.03,-0.01,0.0,0.01
12,38,8,17.6,4.487,24.87160714,90.048,0,0,800.3,800.0,800.2,781,795,795,780,383.75,148.12,133.75,142.5,-0.01,-0.01,0.0,0.03
12,38,9,17.62,4.487,24.87160714,90.048,0,0,800.3,800.0,800.2,781,795,795,780,382.5,146.88,133.12,140.62,-0.01,-0.01,0.0,0.01
12,38,10,17.63,4.487,24.87160714,90.048,0,0,800.3,800.0,800.2,781,795,795,780,382.5,146.88,133.12,140.62,-0.01,-0.01,0.0,0.01
12,38,11,17.65,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,382.5,146.25,129.38,139.38,-0.01,-0.01,0.0,0.01
12,38,12,17.67,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,382.5,145.62,129.38,139.38,-0.01,-0.01,0.0,0.03
12,38,13,17.68,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,382.5,142.5,128.12,136.88,-0.01,-0.01,0.0,0.01
12,38,14,17.7,4.487,24.87160714,90.048,0,0,800.3,800.0,800.2,781,795,795,780,381.88,141.88,130.0,136.88,-0.01,-0.01,0.0,0.01
12,38,15,17.72,4.487,24.87160714,90.048,0,0,800.3,800.0,800.2,781,795,795,780,381.88,141.88,130.0,137.5,-0.01,-0.01,0.0,0.03
12,38,16,17.73,4.487,24.87160714,90.048,0,0,800.3,800.0,800.2,781,795,795,780,379.38,141.88,132.5,137.5,-0.01,0.0,0.0,0.03
12,38,17,17.75,4.487,24.87160714,90.048,0,0,800.3,800.0,800.2,781,795,795,780,380.62,143.12,130.62,136.88,-0.01,0.0,0.0,0.01
12,38,18,17.77,4.487,24.87160714,90.048,0,0,800.3,800.0,800.2,781,795,795,780,379.38,143.75,133.12,136.25,-0.01,0.0,0.0,0.01
12,38,19,17.78,4.487,24.87160714,90.048,0,0,800.2,800.0,800.2,781,795,795,780,380.62,145.62,132.5,135.62,-0.01,0.0,0.0,0.01
12,38,20,17.8,4.487,24.87160714,90.048,0,0,800.3,800.0,800.2,781,795,795,780,381.25,145.0,132.5,135.62,-0.01,0.0,0.0,0.01
12,38,21,17.82,4.487,24.87160714,90.048,0,0,800.3,800.1,800.2,781,795,795,780,380.62,143.75,132.5,135.62,-0.01,0.0,0.0,0.01
12,38,22,17.83,4.487,24.87160714,90.048,0,0,800.3,800.1,800.2,781,795,795,780,380.62,143.75,132.5,135.62,-0.01,-0.01,0.0,0.01
12,38,23,17.85,4.487,24.87160714,90.048,0,0,800.2,800.1,800.2,781,795,795,780,381.25,143.75,133.12,136.25,-0.01,-0.01,0.0,0.01
12,38,24,17.87,4.487,24.87160714,90.048,0,0,800.3,800.1,800.2,781,795,795,780,380.62,146.25,133.75,136.88,-0.01,0.0,0.0,0.01
12,38,25,17.88,4.487,24.87160714,90.048,0,0,800.3,800.1,800.2,781,795,795,780,380.62,148.12,133.75,136.88,-0.01,-0.01,0.0,0.01
12,38,26,17.9,4.487,24.87160714,90.048,0,0,800.3,800.0,800.3,781,795,795,780,381.25,148.75,134.38,139.38,-0.01,0.0,0.0,0.01
12,38,27,17.92,4.487,24.87160714,90.048,0,0,800.3,800.1,800.3,781,795,795,780,382.5,148.75,130.62,136.25,-0.01,0.0,0.0,0.01
12,38,28,17.93,4.487,24.87160714,90.048,0,0,800.3,800.1,800.3,781,795,795,780,382.5,148.75,130.62,136.25,-0.01,-0.01,0.0,0.01
12,38,29,17.95,4.487,24.87160714,90.048,0,0,800.3,800.1,800.3,781,795,795,780,381.88,145.0,127.5,133.12,-0.01,-0.01,0.0,0.01
12,38,30,17.97,4.487,24.87160714,90.048,0,0,800.2,800.0,800.3,781,795,795,780,382.5,145.0,131.25,136.88,-0.03,-0.01,0.0,0.01
12,38,31,17.98,4.487,24.87160714,90.048,0,0,800.3,800.1,800.3,781,795,795,780,382.5,146.25,132.5,139.38,-0.01,-0.01,0.0,0.01
12,38,32,18.0,4.487,24.87160714,90.048,0,0,800.3,800.1,800.3,781,795,795,780,381.88,145.62,132.5,141.88,-0.01,-0.01,0.0,0.03
12,38,33,18.02,4.487,24.87160714,90.048,0,0,800.3,800.1,800.3,781,795,795,780,381.88,146.25,132.5,140.62,-0.01,0.0,0.0,0.03
12,38,34,18.03,4.487,24.87160714,90.048,0,0,800.3,800.2,800.2,781,795,795,780,381.88,146.25,132.5,139.38,-0.01,0.0,0.0,0.03
12,38,35,18.05,4.487,24.87160714,90.048,0,0,800.3,800.2,800.2,781,795,795,780,381.88,145.62,128.12,139.38,-0.03,-0.01,0.0,0.03
12,38,36,18.07,4.487,24.87160714,90.048,0,0,800.3,800.2,800.3,781,795,795,780,382.5,146.25,130.0,140.0,-0.01,-0.01,0.0,0.01
12,38,37,18.08,4.487,24.87160714,90.048,0,0,800.3,800.2,800.3,781,795,795,780,381.88,143.75,129.38,137.5,-0.01,0.0,0.0,0.03
12,38,38,18.1,4.487,24.87160714,90.048,0,0,800.3,800.2,800.3,781,795,795,780,381.88,143.12,130.0,136.88,-0.01,0.0,0.0,0.01
