Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
16,31,43,280.0,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,612.5,343.75,336.88,341.88,-0.06,-0.01,-0.01,-0.34
16,31,44,280.02,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,611.88,344.38,338.75,343.75,-0.06,-0.01,-0.01,-0.34
16,31,45,280.03,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,611.88,344.38,338.75,343.75,-0.09,0.0,-0.01,-0.34
16,31,46,280.05,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,611.25,345.0,340.62,344.38,-0.06,-0.01,-0.01,-0.34
16,31,47,280.07,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,609.38,345.0,338.12,342.5,-0.06,0.0,-0.01,-0.34
16,31,48,280.08,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,607.5,343.75,336.88,341.25,-0.06,-0.01,-0.01,-0.34
16,31,49,280.1,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,607.5,343.75,338.12,342.5,-0.06,0.0,-0.01,-0.34
16,31,50,280.12,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,608.12,344.38,338.12,342.5,-0.06,0.0,-0.01,-0.34
16,31,51,280.13,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,608.12,344.38,338.12,342.5,-0.06,0.0,-0.01,-0.34
16,31,52,280.15,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,611.25,346.88,341.25,345.62,-0.06,0.0,-0.01,-0.34
16,31,53,280.17,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,610.62,348.12,340.62,345.62,-0.06,-0.01,-0.01,-0.34
16,31,54,280.18,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,608.75,346.25,338.12,342.5,-0.06,0.0,-0.01,-0.34
16,31,55,280.2,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,608.75,344.38,338.75,342.5,-0.06,-0.01,-0.01,-0.34
16,31,56,280.22,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,610.62,346.25,340.62,345.62,-0.06,-0.01,-0.01,-0.34
16,31,57,280.23,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,610.62,346.25,340.62,345.62,-0.06,0.0,-0.01,-0.34
16,31,58,280.25,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,610.62,346.88,340.0,345.0,-0.06,-0.01,-0.01,-0.34
16,31,59,280.27,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,609.38,345.0,338.12,344.38,-0.06,-0.01,-0.01,-0.34
16,32,0,280.28,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,609.38,345.0,338.12,343.75,-0.06,0.0,-0.01,-0.34
16,32,1,280.3,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,608.75,345.0,338.75,343.75,-0.06,0.0,-0.01,-0.34
16,32,2,280.32,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,608.75,345.0,338.12,343.75,-0.06,0.0,-0.01,-0.34
16,32,3,280.33,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,608.75,345.0,338.12,343.75,-0.06,0.0,-0.01,-0.34
16,32,4,280.35,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,610.62,346.25,341.25,345.62,-0.06,-0.01,-0.01,-0.34
16,32,5,280.37,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,610.62,346.25,340.62,345.62,-0.06,-0.01,-0.01,-0.34
16,32,6,280.38,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,610.62,345.0,338.12,344.38,-0.06,0.0,-0.01,-0.34
16,32,7,280.4,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,608.75,343.75,338.12,341.88,-0.06,0.0,-0.01,-0.34
16,32,8,280.42,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,609.38,343.75,338.12,342.5,-0.06,0.0,-0.01,-0.34
16,32,9,280.43,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,609.38,343.75,338.12,342.5,-0.06,0.0,-0.01,-0.34
16,32,10,280.45,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,609.38,343.75,337.5,341.88,-0.06,-0.01,-0.01,-0.34
16,32,11,280.47,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,609.38,344.38,337.5,341.88,-0.06,-0.01,-0.01,-0.34
16,32,12,280.48,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,610.62,344.38,338.75,343.75,-0.06,-0.01,-0.01,-0.34
16,32,13,280.5,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,609.38,345.0,340.0,343.75,-0.06,0.0,-0.01,-0.34
16,32,14,280.52,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,611.25,345.0,340.0,340.62,-0.06,0.0,-0.01,-0.34
16,32,15,280.53,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,607.5,343.75,336.88,340.62,-0.06,0.0,-0.01,-0.34
16,32,16,280.55,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,608.75,344.38,338.12,343.75,-0.06,0.0,-0.01,-0.34
16,32,17,280.57,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,613.75,348.12,344.38,348.75,-0.06,-0.01,-0.01,-0.34
16,32,18,280.58,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,615.62,351.25,345.0,351.25,-0.06,0.0,-0.01,-0.34
16,32,19,280.6,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,615.0,350.62,341.88,347.5,-0.05,0.0,-0.01,-0.34
16,32,20,280.62,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,615.0,350.62,341.88,343.75,-0.05,0.0,-0.01,-0.34
16,32,21,280.63,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,610.62,346.88,338.12,343.75,-0.06,0.0,-0.01,-0.34
16,32,22,280.65,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,610.62,345.0,338.12,343.75,-0.06,0.0,-0.01,-0.34
16,32,23,280.67,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,610.62,346.25,340.62,342.5,-0.05,0.0,-0.01,-0.32
16,32,24,280.68,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,611.88,346.88,341.88,345.0,-0.06,0.0,-0.01,-0.32
16,32,25,280.7,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,611.88,347.5,340.62,345.62,-0.05,0.0,-0.01,-0.32
16,32,26,280.72,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,611.25,349.38,341.25,347.5,-0.05,0.0,-0.01,-0.34
16,32,27,280.73,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,611.25,349.38,341.25,347.5,-0.06,0.0,-0.01,-0.34
16,32,28,280.75,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,611.88,349.38,341.25,348.12,-0.06,0.0,-0.01,-0.34
16,32,29,280.77,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,615.62,350.62,341.88,348.75,-0.05,-0.01,-0.01,-0.34
16,32,30,280.78,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,616.88,350.62,341.25,348.12,-0.06,0.0,-0.01,-0.34
16,32,31,280.8,8.4357,41.90803571,0,0,0,800.0,800.0,800.0,769,778,796,776,615.62,350.0,340.62,347.5,-0.05,0.0,-0.01,-0.34
