Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
13,27,38,244.0,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,776,796,776,475.0,247.5,205.0,206.88,-0.06,0.0,0.0,0.05
13,27,39,244.02,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,776,796,776,475.0,247.5,205.0,205.62,-0.09,0.0,0.0,0.08
13,27,40,244.03,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,776,796,776,475.62,247.5,203.75,205.62,-0.06,-0.01,0.0,0.08
13,27,41,244.05,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,776,796,776,475.62,247.5,205.0,206.25,-0.06,-0.01,0.0,0.05
13,27,42,244.07,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,776,796,776,478.75,248.75,202.5,206.25,-0.06,-0.01,0.0,0.08
13,27,43,244.08,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,776,796,776,476.88,247.5,203.12,206.25,-0.09,-0.01,0.0,0.08
13,27,44,244.1,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,776,796,776,476.88,246.88,202.5,206.25,-0.09,-0.01,0.0,0.08
13,27,45,244.12,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,776,796,776,476.88,246.88,202.5,206.88,-0.06,0.0,0.0,0.05
13,27,46,244.13,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,776,796,776,475.62,245.62,202.5,206.88,-0.06,-0.01,0.0,0.08
13,27,47,244.15,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,776,796,776,478.12,243.12,202.5,206.88,-0.09,0.0,0.0,0.05
13,27,48,244.17,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,776,796,776,476.25,246.25,202.5,206.88,-0.09,-0.01,0.0,0.08
13,27,49,244.18,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,777,796,776,476.25,246.25,202.5,208.12,-0.09,0.0,0.0,0.05
13,27,50,244.2,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,777,796,776,476.88,246.88,202.5,208.12,-0.06,0.0,0.0,0.08
13,27,51,244.22,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,777,796,776,476.88,246.88,202.5,206.25,-0.09,0.0,0.0,0.08
13,27,52,244.23,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,777,796,776,476.25,244.38,203.12,206.25,-0.06,0.0,0.0,0.05
13,27,53,244.25,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,777,796,776,475.0,243.12,202.5,208.12,-0.06,0.0,0.0,0.08
13,27,54,244.27,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,777,796,776,475.62,244.38,202.5,208.12,-0.09,0.0,0.0,0.05
13,27,55,244.28,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,777,796,776,475.62,245.62,203.12,208.75,-0.06,0.0,0.0,0.05
13,27,56,244.3,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,777,796,776,473.75,244.38,202.5,208.75,-0.06,0.0,0.0,0.05
13,27,57,244.32,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,777,796,776,473.75,244.38,202.5,208.12,-0.09,0.0,0.0,0.05
13,27,58,244.33,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,777,796,776,473.12,241.25,203.12,208.12,-0.06,0.0,0.0,0.05
13,27,59,244.35,4.291176471,31.41964286,0,0,0,800.2,800.0,800.0,775,776,796,776,473.12,240.62,202.5,206.88,-0.09,0.0,0.0,0.08
