Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
11,19,53,152.0,4.241,31.41964286,0,0,0,799.0,798.7,809.6,793,793,794,780,541.25,299.38,271.88,279.38,0.17,0.04,0.0,0.01
11,19,54,152.02,4.241,31.41964286,0,0,0,799.0,798.7,809.6,793,793,794,780,541.25,298.75,274.38,281.25,0.17,0.04,0.0,0.01
11,19,55,152.03,4.241,31.41964286,0,0,0,799.0,798.7,809.6,793,793,794,780,541.25,298.75,274.38,281.25,0.17,0.04,0.0,0.01
11,19,56,152.05,4.241,31.41964286,0,0,0,799.0,798.7,809.6,794,793,794,780,541.88,300.0,275.62,285.62,0.17,0.04,0.0,0.01
11,19,57,152.07,4.241,31.41964286,0,0,0,799.0,798.7,809.7,794,793,794,780,542.5,301.25,274.38,284.38,0.17,0.04,0.0,0.01
11,19,58,152.08,4.241,31.41964286,0,0,0,799.0,798.7,809.7,794,793,794,780,543.12,301.25,272.5,282.5,0.18,0.04,0.0,0.01
11,19,59,152.1,4.241,31.41964286,0,0,0,799.0,798.7,809.8,794,793,794,780,543.12,300.62,272.5,281.88,0.18,0.04,0.0,0.01
11,20,0,152.12,4.241,31.41964286,0,0,0,799.0,798.7,809.8,794,793,794,780,542.5,300.0,272.5,281.88,0.18,0.04,0.0,0.01
11,20,1,152.13,4.241,31.41964286,0,0,0,799.0,798.7,809.8,794,793,794,780,542.5,299.38,271.88,281.88,0.18,0.03,0.0,0.01
11,20,2,152.15,4.241,31.41964286,0,0,0,799.0,798.7,809.8,794,793,794,780,541.88,298.75,273.75,283.75,0.18,0.03,0.0,0.01
11,20,3,152.17,4.241,31.41964286,0,0,0,799.0,798.7,809.9,794,793,794,780,541.88,299.38,272.5,278.75,0.18,0.03,0.0,0.01
11,20,4,152.18,4.241,31.41964286,0,0,0,799.0,798.7,809.9,794,793,794,780,538.75,296.88,268.12,273.12,0.18,0.04,0.0,0.01
11,20,5,152.2,4.241,31.41964286,0,0,0,799.0,798.7,809.9,794,793,794,780,536.88,295.62,273.75,278.12,0.17,0.03,0.0,0.01
11,20,6,152.22,4.241,31.41964286,0,0,0,799.0,798.7,810.0,794,793,794,780,536.88,296.25,273.75,277.5,0.17,0.03,0.0,0.01
11,20,7,152.23,4.241,31.41964286,0,0,0,799.0,798.7,810.0,794,793,794,780,536.88,296.25,273.75,277.5,0.17,0.03,0.0,0.01
11,20,8,152.25,4.241,31.41964286,0,0,0,799.0,798.7,810.0,794,793,794,780,536.88,295.62,271.88,276.25,0.17,0.03,0.0,0.0
11,20,9,152.27,4.241,31.41964286,0,0,0,799.0,798.7,810.0,794,793,794,780,536.88,296.25,272.5,278.12,0.17,0.04,0.0,0.0
11,20,10,152.28,4.241,31.41964286,0,0,0,799.0,798.7,810.1,794,793,794,780,538.75,296.88,275.0,281.25,0.17,0.03,0.0,0.0
11,20,11,152.3,4.241,31.41964286,0,0,0,799.0,798.7,810.1,794,793,794,780,539.38,296.88,273.75,280.62,0.18,0.03,0.0,0.0
11,20,12,152.32,4.241,31.41964286,0,0,0,799.0,798.7,810.2,794,793,794,780,539.38,296.88,273.75,282.5,0.18,0.03,0.0,0.0
11,20,13,152.33,4.241,31.41964286,0,0,0,799.0,798.7,810.2,794,793,794,780,540.0,297.5,275.0,282.5,0.18,0.03,0.0,0.0
