Hour, Min., Sec., Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
11,58,7,186.0,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,315.0,74.38,63.12,72.5,-0.01,-0.01,0.01,0.01
11,58,8,186.02,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,313.12,73.12,60.62,70.62,-0.01,-0.03,0.01,0.01
11,58,9,186.03,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,313.12,72.5,60.0,69.38,-0.03,-0.01,0.01,0.01
11,58,10,186.05,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,313.12,73.75,60.0,70.62,-0.01,-0.03,0.01,0.01
11,58,11,186.07,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,312.5,73.75,60.0,70.62,-0.01,-0.01,0.01,0.01
11,58,12,186.08,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,312.5,73.75,60.0,70.62,-0.01,-0.01,0.01,0.01
11,58,13,186.1,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,312.5,73.12,60.62,70.62,-0.01,-0.01,0.01,0.01
11,58,14,186.12,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,313.12,71.25,58.12,66.88,-0.01,-0.01,0.01,0.01
11,58,15,186.13,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,310.0,68.12,56.88,64.38,-0.01,-0.01,0.01,0.0
11,58,16,186.15,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,310.0,70.0,60.62,66.88,-0.01,-0.01,0.01,0.01
11,58,17,186.17,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,310.62,72.5,60.62,66.88,-0.01,-0.01,0.01,0.0
11,58,18,186.18,4.393666667,29.14285714,0,0,0,799.9,800.0,800.0,787,800,796,779,310.62,72.5,60.62,65.0,-0.01,-0.01,0.01,0.0
11,58,19,186.2,4.393666667,29.14285714,0,0,0,799.9,800.0,800.0,787,800,796,779,311.88,71.25,60.0,65.0,-0.01,-0.01,0.0,0.0
11,58,20,186.22,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,312.5,72.5,61.25,64.38,-0.01,-0.01,0.01,0.0
11,58,21,186.23,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,313.12,74.38,63.75,67.5,-0.01,-0.01,0.0,0.0
11,58,22,186.25,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,313.12,73.12,61.88,63.75,-0.01,-0.01,0.01,0.01
11,58,23,186.27,4.393666667,29.14285714,0,0,0,799.9,800.0,800.0,787,800,796,779,312.5,73.12,64.38,66.88,-0.01,-0.01,0.0,0.0
11,58,24,186.28,4.393666667,29.14285714,0,0,0,800.0,800.0,800.0,787,800,796,779,312.5,73.12,64.38,68.12,-0.01,-0.01,0.0,0.0
