number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_lr,params_window_size,user_attrs_group,user_attrs_model,user_attrs_timestamp,state
0,0.023041668,05:05.5,21:56.2,0 days 00:16:50.657951,32,256,0.0001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_150505,COMPLETE
1,0.072425452,21:56.2,29:42.0,0 days 00:07:45.823192,16,128,0.01,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_152156,COMPLETE
2,0.03898769,29:42.0,57:30.7,0 days 00:27:48.672162,16,128,0.0001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_152942,COMPLETE
3,0.013586058,57:30.7,10:24.3,0 days 00:12:53.616159,16,256,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_155730,COMPLETE
4,0.008819936,10:24.3,26:57.0,0 days 00:16:32.662747,16,128,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_161024,COMPLETE
5,0.0173938,26:57.0,40:42.5,0 days 00:13:45.518964,16,128,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_162656,COMPLETE
6,0.028863367,40:42.5,48:26.5,0 days 00:07:44.013274,128,256,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_164042,COMPLETE
7,0.008354028,48:26.5,03:51.8,0 days 00:15:25.308122,16,256,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_164826,COMPLETE
8,0.028729594,03:51.8,10:29.7,0 days 00:06:37.887673,128,128,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_170351,COMPLETE
9,0.016992768,10:29.7,40:58.9,0 days 00:30:29.159536,16,256,0.0001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_171029,COMPLETE
10,0.023043109,40:58.9,47:41.8,0 days 00:06:42.968001,64,256,0.01,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_174058,COMPLETE
11,0.008250207,47:41.8,56:26.8,0 days 00:08:44.981633,32,128,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_174741,COMPLETE
12,0.031369875,56:26.8,04:14.2,0 days 00:07:47.419603,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_175626,COMPLETE
13,0.022997433,04:14.2,13:36.2,0 days 00:09:22.010862,32,128,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250214_180414,COMPLETE
