number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_lr,params_window_size,user_attrs_group,user_attrs_model,user_attrs_timestamp,state
0,1.021374927,11:46.7,17:49.9,0 days 00:06:03.239113,16,128,0.0001,10,Group 1_pyrolysis,rnn,20250217_201146,COMPLETE
1,3.266112148,17:49.9,19:22.9,0 days 00:01:32.989858,128,128,0.001,30,Group 1_pyrolysis,rnn,20250217_201749,COMPLETE
2,1.536114042,19:22.9,24:42.0,0 days 00:05:19.084500,16,256,0.0001,30,Group 1_pyrolysis,rnn,20250217_201922,COMPLETE
3,1.359857029,24:42.0,26:44.7,0 days 00:02:02.729667,64,256,0.001,20,Group 1_pyrolysis,rnn,20250217_202441,COMPLETE
4,2.042720694,26:44.7,28:42.8,0 days 00:01:58.048726,32,256,0.01,20,Group 1_pyrolysis,rnn,20250217_202644,COMPLETE
5,1.274479513,28:42.8,31:40.9,0 days 00:02:58.147435,32,128,0.001,20,Group 1_pyrolysis,rnn,20250217_202842,COMPLETE
6,1.004214866,31:40.9,34:45.3,0 days 00:03:04.344552,16,256,0.001,30,Group 1_pyrolysis,rnn,20250217_203140,COMPLETE
7,0.986249284,34:45.3,36:22.4,0 days 00:01:37.168619,128,256,0.01,30,Group 1_pyrolysis,rnn,20250217_203445,COMPLETE
8,1.922281002,36:22.4,37:50.6,0 days 00:01:28.135082,128,128,0.01,5,Group 1_pyrolysis,rnn,20250217_203622,COMPLETE
9,3.398571523,37:50.6,40:57.1,0 days 00:03:06.489481,16,256,0.01,30,Group 1_pyrolysis,rnn,20250217_203750,COMPLETE
10,0.931175655,40:57.1,42:20.3,0 days 00:01:23.246457,128,256,0.01,5,Group 1_pyrolysis,rnn,20250217_204057,COMPLETE
11,0.819360653,42:20.3,43:53.7,0 days 00:01:33.406095,128,256,0.01,5,Group 1_pyrolysis,rnn,20250217_204220,COMPLETE
12,1.163112471,43:53.7,45:22.2,0 days 00:01:28.513579,128,256,0.01,5,Group 1_pyrolysis,rnn,20250217_204353,COMPLETE
13,1.004298628,45:22.2,46:52.4,0 days 00:01:30.159955,128,256,0.01,5,Group 1_pyrolysis,rnn,20250217_204522,COMPLETE
14,0.896238607,46:52.4,48:37.1,0 days 00:01:44.756723,64,256,0.01,5,Group 1_pyrolysis,rnn,20250217_204652,COMPLETE
15,2.182818747,48:37.1,50:19.4,0 days 00:01:42.294730,64,256,0.01,5,Group 1_pyrolysis,rnn,20250217_204837,COMPLETE
16,1.634694984,50:19.4,52:37.3,0 days 00:02:17.912752,64,256,0.0001,10,Group 1_pyrolysis,rnn,20250217_205019,COMPLETE
17,0.734671791,52:37.3,54:19.3,0 days 00:01:41.932209,64,256,0.01,5,Group 1_pyrolysis,rnn,20250217_205237,COMPLETE
18,1.096632474,54:19.3,55:58.6,0 days 00:01:39.316312,64,128,0.01,5,Group 1_pyrolysis,rnn,20250217_205419,COMPLETE
19,2.091762612,55:58.6,58:14.1,0 days 00:02:15.487418,32,256,0.0001,5,Group 1_pyrolysis,rnn,20250217_205558,COMPLETE
20,1.026989274,58:14.1,59:57.9,0 days 00:01:43.795189,64,256,0.01,10,Group 1_pyrolysis,rnn,20250217_205814,COMPLETE
21,1.879792907,59:57.9,01:24.5,0 days 00:01:26.638806,64,256,0.01,5,Group 1_pyrolysis,rnn,20250217_205957,COMPLETE
22,1.05718823,01:24.5,03:20.2,0 days 00:01:55.694411,64,256,0.01,5,Group 1_pyrolysis,rnn,20250217_210124,COMPLETE
23,1.163010256,03:20.2,05:11.7,0 days 00:01:51.450833,64,256,0.01,5,Group 1_pyrolysis,rnn,20250217_210320,COMPLETE
24,1.275033047,05:11.7,06:42.6,0 days 00:01:30.978907,64,256,0.01,5,Group 1_pyrolysis,rnn,20250217_210511,COMPLETE
25,0.997571932,06:42.6,08:35.0,0 days 00:01:52.399560,64,256,0.01,5,Group 1_pyrolysis,rnn,20250217_210642,COMPLETE
26,1.128533815,08:35.0,10:09.0,0 days 00:01:33.974577,128,128,0.01,5,Group 1_pyrolysis,rnn,20250217_210835,COMPLETE
27,1.057222996,10:09.0,12:02.2,0 days 00:01:53.215550,32,256,0.01,5,Group 1_pyrolysis,rnn,20250217_211009,COMPLETE
28,1.05801923,12:02.2,13:57.2,0 days 00:01:54.947462,64,256,0.001,10,Group 1_pyrolysis,rnn,20250217_211202,COMPLETE
29,1.292443948,13:57.2,20:35.4,0 days 00:06:38.250099,16,128,0.0001,20,Group 1_pyrolysis,rnn,20250217_211357,COMPLETE
30,1.928955801,20:35.4,22:21.4,0 days 00:01:46.019878,128,256,0.0001,10,Group 1_pyrolysis,rnn,20250217_212035,COMPLETE
31,0.945247015,22:21.5,23:45.6,0 days 00:01:24.152074,128,256,0.01,5,Group 1_pyrolysis,rnn,20250217_212221,COMPLETE
32,2.839057342,23:45.6,25:10.8,0 days 00:01:25.150494,128,256,0.01,5,Group 1_pyrolysis,rnn,20250217_212345,COMPLETE
